"symbol_hs","symbol_mm"
"TMEM266","Tmem266"
"ETFA","Etfa"
"SCAPER","Scaper"
"RCN2","Rcn2"
"PSTPIP1","Pstpip1"
"TSPAN3","Tspan3"
"PEAK1","Peak1"
"HMG20A","Hmg20a"
"LINGO1","Lingo1"
"TBC1D2B","Tbc1d2b"
"CIB2","Cib2"
"IDH3A","Idh3a"
"ACSBG1","Acsbg1"
"DNAJA4","Dnaja4"
"WDR61","Wdr61"
"CRABP1","Crabp1"
"IREB2","Ireb2"
"HYKK","Hykk"
"PSMA4","Psma4"
"CHRNA5","Chrna5"
"ADAMTS7","Adamts7"
"MORF4L1","Morf4l1"
"CTSH","Ctsh"
"RASGRF1","Rasgrf1"
"TMED3","Tmed3"
"MINAR1","Minar1"
"ZFAND6","Zfand6"
"FAH","Fah"
"CTXND1","Gm2115"
"ARNT2","Arnt2"
"ABHD17C","Abhd17c"
"CEMIP","Cemip"
"MESD","Mesd"
"TLNRD1","Tlnrd1"
"CFAP161","Cfap161"
"IL16","Il16"
"STARD5","Stard5"
"MEX3B","Mex3b"
"EFL1","Efl1"
"SAXO2","Saxo2"
"CPEB1","Cpeb1"
"AP3B2","Ap3b2"
"WHAMM","Whamm"
"HOMER2","Homer2"
"C15orf40","3110040N11Rik"
"BTBD1","Btbd1"
"TM6SF1","Tm6sf1"
"HDGFL3","Hdgfl3"
"BNC1","Bnc1"
"SH3GL3","Sh3gl3"
"ADAMTSL3","Adamtsl3"
"ZSCAN2","Zscan2"
"WDR73","Wdr73"
"NMB","Nmb"
"SEC11A","Sec11a"
"ZNF592","Zfp592"
"ALPK3","Alpk3"
"PDE8A","Pde8a"
"AKAP13","Akap13"
"KLHL25","Klhl25"
"AGBL1","Agbl1"
"NTRK3","Ntrk3"
"MRPL46","Mrpl46"
"MRPS11","Mrps11"
"DET1","Det1"
"AEN","Aen"
"ISG20","Isg20"
"ACAN","Acan"
"HAPLN3","Hapln3"
"MFGE8","Mfge8"
"ABHD2","Abhd2"
"FANCI","Fanci"
"POLG","Polg"
"TICRR","Ticrr"
"KIF7","Kif7"
"PLIN1","Plin1"
"PEX11A","Pex11a"
"WDR93","Wdr93"
"MESP1","Mesp1"
"MESP2","Mesp2"
"ANPEP","Anpep"
"AP3S2","Ap3s2"
"ARPIN","Arpin"
"IDH2","Idh2"
"SEMA4B","Sema4b"
"CIB1","Cib1"
"GDPGP1","Gdpgp1"
"TTLL13P","Ttll13"
"NGRN","Ngrn"
"IQGAP1","Iqgap1"
"CRTC3","Crtc3"
"BLM","Blm"
"FURIN","Furin"
"FES","Fes"
"MAN2A2","Man2a2"
"HDDC3","Hddc3"
"UNC45A","Unc45a"
"RCCD1","Rccd1"
"PRC1","Prc1"
"VPS33B","Vps33b"
"SV2B","Sv2b"
"SLCO3A1","Slco3a1"
"FAM174B","Fam174b"
"CHD2","Chd2"
"RGMA","Rgma"
"MCTP2","Mctp2"
"NR2F2","Nr2f2"
"ARRDC4","Arrdc4"
"IGF1R","Igf1r"
"SYNM","Synm"
"TTC23","Ttc23"
"LRRC28","Lrrc28"
"MEF2A","Mef2a"
"LYSMD4","Lysmd4"
"ADAMTS17","Adamts17"
"LINS1","Lins1"
"ASB7","Asb7"
"ALDH1A3","Aldh1a3"
"LRRK1","Lrrk1"
"CHSY1","Chsy1"
"SELENOS","Selenos"
"SNRPA1","Snrpa1"
"PCSK6","Pcsk6"
"TM2D3","Tm2d3"
"POLR3K","Polr3k"
"SNRNP25","Snrnp25"
"RHBDF1","Rhbdf1"
"MPG","Mpg"
"NPRL3","Nprl3"
"HBZ","Hba-x"
"LUC7L","Luc7l"
"FAM234A","Fam234a"
"RGS11","Rgs11"
"ARHGDIG","Arhgdig"
"PDIA2","Pdia2"
"AXIN1","Axin1"
"MRPL28","Mrpl28"
"NME4","Nme4"
"DECR2","Decr2"
"RAB11FIP3","Rab11fip3"
"CAPN15","Capn15"
"PIGQ","Pigq"
"NHLRC4","Nhlrc4"
"RAB40C","Rab40c"
"WFIKKN1","Wfikkn1"
"METTL26","Mettl26"
"MCRIP2","Mcrip2"
"WDR90","Wdr90"
"RHOT2","Rhot2"
"RHBDL1","Rhbdl1"
"STUB1","Stub1"
"JMJD8","Jmjd8"
"WDR24","Wdr24"
"FBXL16","Fbxl16"
"METRN","Metrn"
"ANTKMT","Antkmt"
"CCDC78","Ccdc78"
"HAGHL","Haghl"
"CIAO3","Ciao3"
"MSLN","Msln"
"RPUSD1","Rpusd1"
"CHTF18","Chtf18"
"LMF1","Lmf1"
"SOX8","Sox8"
"CACNA1H","Cacna1h"
"TPSG1","Tpsg1"
"UBE2I","Ube2i"
"BAIAP3","Baiap3"
"TSR3","Tsr3"
"GNPTG","Gnptg"
"UNKL","Unkl"
"C16orf91","BC003965"
"CCDC154","Ccdc154"
"CLCN7","Clcn7"
"TELO2","Telo2"
"IFT140","Ift140"
"TMEM204","Tmem204"
"CRAMP1","Cramp1"
"JPT2","Jpt2"
"MAPK8IP3","Mapk8ip3"
"NME3","Nme3"
"MRPS34","Mrps34"
"EME2","Eme2"
"SPSB3","Spsb3"
"NUBP2","Nubp2"
"IGFALS","Igfals"
"HAGH","Hagh"
"FAHD1","Fahd1"
"HS3ST6","Hs3st6"
"MSRB1","Msrb1"
"NDUFB10","Ndufb10"
"TBL3","Tbl3"
"NOXO1","Noxo1"
"GFER","Gfer"
"SYNGR3","Syngr3"
"ZNF598","Zfp598"
"NPW","Npw"
"SLC9A3R2","Slc9a3r2"
"NTHL1","Nthl1"
"TSC2","Tsc2"
"PKD1","Pkd1"
"RAB26","Rab26"
"TRAF7","Traf7"
"CASKIN1","Caskin1"
"MLST8","Mlst8"
"BRICD5","Bricd5"
"PGP","Pgp"
"E4F1","E4f1"
"DNASE1L2","Dnase1l2"
"ECI1","Eci1"
"RNPS1","Rnps1"
"ABCA3","Abca3"
"CCNF","Ccnf"
"TEDC2","Tedc2"
"TBC1D24","Tbc1d24"
"ATP6V0C","Atp6v0c"
"AMDHD2","Amdhd2"
"PDPK1","Pdpk1"
"KCTD5","Kctd5"
"PRSS27","Prss27"
"SRRM2","Srrm2"
"ELOB","Elob"
"PRSS21","Prss21"
"ZG16B","Sbpl"
"PRSS22","Prss22"
"FLYWCH2","Flywch2"
"FLYWCH1","Flywch1"
"PKMYT1","Pkmyt1"
"PAQR4","Paqr4"
"CLDN9","Cldn9"
"CLDN6","Cldn6"
"HCFC1R1","Hcfc1r1"
"THOC6","Thoc6"
"BICDL2","Bicdl2"
"MMP25","Mmp25"
"ZNF205","Zfp13"
"ZNF213","Zfp213"
"MEFV","Mefv"
"ZNF174","Zfp174"
"ZNF597","Zfp597"
"NAA60","Naa60"
"CLUAP1","Cluap1"
"NLRC3","Nlrc3"
"SLX4","Slx4"
"DNASE1","Dnase1"
"TRAP1","Trap1"
"CREBBP","Crebbp"
"ADCY9","Adcy9"
"SRL","Srl"
"TFAP4","Tfap4"
"GLIS2","Glis2"
"CORO7","Coro7"
"VASN","Vasn"
"DNAJA3","Dnaja3"
"NMRAL1","Nmral1"
"HMOX2","Hmox2"
"CDIP1","Cdip1"
"UBALD1","Ubald1"
"MGRN1","Mgrn1"
"NUDT16L1","Nudt16l1"
"ANKS3","Anks3"
"SMIM22","Smim22"
"ROGDI","Rogdi"
"GLYR1","Glyr1"
"UBN1","Ubn1"
"PPL","Ppl"
"SEC14L5","Sec14l5"
"NAGPA","Nagpa"
"ALG1","Alg1"
"C16orf89","AU021092"
"METTL22","Mettl22"
"ABAT","Abat"
"TMEM186","Tmem186"
"PMM2","Pmm2"
"CARHSP1","Carhsp1"
"USP7","Usp7"
"C16orf72","1810013L24Rik"
"GRIN2A","Grin2a"
"ATF7IP2","Atf7ip2"
"EMP2","Emp2"
"NUBP1","Nubp1"
"TVP23A","Tvp23a"
"CIITA","Ciita"
"DEXI","Dexi"
"CLEC16A","Clec16a"
"RMI2","Rmi2"
"SOCS1","Socs1"
"LITAF","Litaf"
"SNN","Snn"
"TXNDC11","Txndc11"
"ZC3H7A","Zc3h7a"
"RSL1D1","Rsl1d1"
"GSPT1","Gspt1"
"TNFRSF17","Tnfrsf17"
"SNX29","Snx29"
"CPPED1","Cpped1"
"ERCC4","Ercc4"
"MRTFB","Mrtfb"
"PARN","Parn"
"BFAR","Bfar"
"PLA2G10","Pla2g10"
"PDXDC1","Pdxdc1"
"NTAN1","Ntan1"
"RRN3","Rrn3"
"MPV17L","Mpv17l"
"BMERB1","Bmerb1"
"MARF1","Marf1"
"NDE1","Nde1"
"MYH11","Myh11"
"ABCC1","Abcc1"
"ABCC6","Abcc6"
"XYLT1","Xylt1"
"ARL6IP1","Arl6ip1"
"SMG1","Smg1"
"TMC7","Tmc7"
"COQ7","Coq7"
"ITPRIPL2","Itpripl2"
"SYT17","Syt17"
"TMC5","Tmc5"
"GDE1","Gde1"
"CCP110","Ccp110"
"VPS35L","Vps35l"
"KNOP1","Knop1"
"IQCK","Iqck"
"GPRC5B","Gprc5b"
"ACSM5","Acsm5"
"ACSM3","Acsm3"
"ACSM1","Acsm1"
"THUMPD1","Thumpd1"
"ERI2","Eri2"
"REXO5","Rexo5"
"DCUN1D3","Dcun1d3"
"LYRM1","Lyrm1"
"DNAH3","Dnah3"
"TMEM159","Tmem159"
"CRYM","Crym"
"METTL9","Mettl9"
"IGSF6","Igsf6"
"OTOA","Otoa"
"UQCRC2","Uqcrc2"
"MOSMO","Mosmo"
"VWA3A","Vwa3a"
"SDR42E2","Gm5737"
"EEF2K","Eef2k"
"POLR3E","Polr3e"
"CDR2","Cdr2"
"HS3ST2","Hs3st2"
"USP31","Usp31"
"SCNN1G","Scnn1g"
"SCNN1B","Scnn1b"
"COG7","Cog7"
"GGA2","Gga2"
"EARS2","Ears2"
"UBFD1","Ubfd1"
"NDUFAB1","Ndufab1"
"PALB2","Palb2"
"DCTN5","Dctn5"
"PLK1","Plk1"
"ERN2","Ern2"
"CHP2","Chp2"
"PRKCB","Prkcb"
"RBBP6","Rbbp6"
"TNRC6A","Tnrc6a"
"ARHGAP17","Arhgap17"
"LCMT1","Lcmt1"
"AQP8","Aqp8"
"ZKSCAN2","Zkscan2"
"KDM8","Kdm8"
"NSMCE1","Nsmce1"
"IL4R","Il4ra"
"IL21R","Il21r"
"GTF3C1","Gtf3c1"
"XPO6","Xpo6"
"SBK1","Sbk1"
"CLN3","Cln3"
"APOBR","Apobr"
"IL27","Il27"
"NUPR1","Nupr1"
"SGF29","Sgf29"
"ATXN2L","Atxn2l"
"TUFM","Tufm"
"SH2B1","Sh2b1"
"ATP2A1","Atp2a1"
"RABEP2","Rabep2"
"CD19","Cd19"
"NFATC2IP","Nfatc2ip"
"LAT","Lat"
"SPN","Spn"
"QPRT","Qprt"
"C16orf54","AI467606"
"KIF22","Kif22"
"MAZ","Maz"
"PRRT2","Prrt2"
"MVP","Mvp"
"CDIPT","Cdipt"
"SEZ6L2","Sez6l2"
"ASPHD1","Asphd1"
"KCTD13","Kctd13"
"TMEM219","Tmem219"
"TAOK2","Taok2"
"HIRIP3","Hirip3"
"INO80E","Ino80e"
"DOC2A","Doc2a"
"PPP4C","Ppp4c"
"TBX6","Tbx6"
"YPEL3","Ypel3"
"GDPD3","Gdpd3"
"MAPK3","Mapk3"
"CORO1A","Coro1a"
"CD2BP2","Cd2bp2"
"TBC1D10B","Tbc1d10b"
"MYLPF","Mylpf"
"ZNF48","Zfp553"
"SEPTIN1","Septin1"
"ZNF771","Zfp771"
"DCTPP1","Dctpp1"
"SEPHS2","Sephs2"
"ITGAL","Itgal"
"ZNF768","Zfp768"
"ZNF688","Zfp688"
"ZNF689","Zfp689"
"PRR14","Prr14"
"FBRS","Fbrs"
"SRCAP","Srcap"
"PHKG2","Phkg2"
"RNF40","Rnf40"
"ZNF629","Zfp629"
"BCL7C","Bcl7c"
"CTF1","Ctf1"
"FBXL19","Fbxl19"
"ORAI3","Orai3"
"HSD3B7","Hsd3b7"
"STX1B","Stx1b"
"STX4","Stx4a"
"ZNF668","Zfp668"
"ZNF646","Zfp646"
"PRSS53","Prss53"
"VKORC1","Vkorc1"
"BCKDK","Bckdk"
"KAT8","Kat8"
"PRSS8","Prss8"
"PRSS36","Prss36"
"FUS","Fus"
"PYCARD","Pycard"
"ITGAM","Itgam"
"ITGAX","Itgax"
"ITGAD","Itgad"
"ARMC5","Armc5"
"TGFB1I1","Tgfb1i1"
"SLC5A2","Slc5a2"
"C16orf58","Rusf1"
"SHCBP1","Shcbp1"
"VPS35","Vps35"
"ORC6","Orc6"
"MYLK3","Mylk3"
"C16orf87","4921524J17Rik"
"GPT2","Gpt2"
"DNAJA2","Dnaja2"
"NETO2","Neto2"
"ITFG1","Itfg1"
"PHKB","Phkb"
"LONP2","Lonp2"
"N4BP1","N4bp1"
"ZNF423","Zfp423"
"CNEP1R1","Cnep1r1"
"HEATR3","Heatr3"
"TENT4B","Tent4b"
"ADCY7","Adcy7"
"BRD7","Brd7"
"NKD1","Nkd1"
"SNX20","Snx20"
"NOD2","Nod2"
"CYLD","Cyld"
"TOX3","Tox3"
"CHD9","Chd9"
"RBL2","Rbl2"
"AKTIP","Aktip"
"RPGRIP1L","Rpgrip1l"
"FTO","Fto"
"IRX3","Irx3"
"IRX5","Irx5"
"IRX6","Irx6"
"MMP2","Mmp2"
"LPCAT2","Lpcat2"
"CAPNS2","Capns2"
"AMFR","Amfr"
"NUDT21","Nudt21"
"OGFOD1","Ogfod1"
"BBS2","Bbs2"
"NUP93","Nup93"
"HERPUD1","Herpud1"
"NLRC5","Nlrc5"
"CPNE2","Cpne2"
"RSPRY1","Rspry1"
"ARL2BP","Arl2bp"
"PLLP","Pllp"
"CCL22","Ccl22"
"CX3CL1","Cx3cl1"
"CCL17","Ccl17"
"CIAPIN1","Ciapin1"
"COQ9","Coq9"
"POLR2C","Polr2c"
"DOK4","Dok4"
"CCDC102A","Ccdc102a"
"ADGRG5","Adgrg5"
"ADGRG1","Adgrg1"
"ADGRG3","Adgrg3"
"DRC7","Drc7"
"KATNB1","Katnb1"
"KIFC3","Kifc3"
"TEPP","Tepp"
"ZNF319","Zfp319"
"USB1","Usb1"
"MMP15","Mmp15"
"CFAP20","Cfap20"
"CSNK2A2","Csnk2a2"
"CCDC113","Ccdc113"
"GINS3","Gins3"
"NDRG4","Ndrg4"
"SETD6","Setd6"
"CNOT1","Cnot1"
"SLC38A7","Slc38a7"
"GOT2","Got2"
"CDH8","Cdh8"
"CDH11","Cdh11"
"CDH5","Cdh5"
"BEAN1","Bean1"
"TK2","Tk2"
"CKLF","Cklf"
"CMTM1","Cmtm1"
"CMTM3","Cmtm3"
"CMTM4","Cmtm4"
"DYNC1LI2","Dync1li2"
"NAE1","Nae1"
"PDP2","Pdp2"
"RRAD","Rrad"
"CIAO2B","Ciao2b"
"CES4A","Ces4a"
"CBFB","Cbfb"
"B3GNT9","B3gnt9"
"TRADD","Tradd"
"FBXL8","Fbxl8"
"HSF4","Hsf4"
"NOL3","Nol3"
"KIAA0895L","4931428F04Rik"
"EXOC3L1","Exoc3l"
"E2F4","E2f4"
"ELMO3","Elmo3"
"TMEM208","Tmem208"
"FHOD1","Fhod1"
"SLC9A5","Slc9a5"
"PLEKHG4","Plekhg4"
"LRRC36","Lrrc36"
"TPPP3","Tppp3"
"ZDHHC1","Zdhhc1"
"HSD11B2","Hsd11b2"
"ATP6V0D1","Atp6v0d1"
"AGRP","Agrp"
"RIPOR1","Ripor1"
"CTCF","Ctcf"
"CARMIL2","Carmil2"
"ACD","Acd"
"PARD6A","Pard6a"
"ENKD1","Enkd1"
"C16orf86","4933405L10Rik"
"GFOD2","Gfod2"
"RANBP10","Ranbp10"
"TSNAXIP1","Tsnaxip1"
"CENPT","Cenpt"
"THAP11","Thap11"
"EDC4","Edc4"
"NRN1L","Nrn1l"
"PSKH1","Pskh1"
"CTRL","Ctrl"
"PSMB10","Psmb10"
"LCAT","Lcat"
"SLC12A4","Slc12a4"
"DPEP2","Dpep2"
"DUS2","Dus2"
"DDX28","Ddx28"
"NFATC3","Nfatc3"
"ESRP2","Esrp2"
"PLA2G15","Pla2g15"
"SLC7A6","Slc7a6"
"SLC7A6OS","Slc7a6os"
"PRMT7","Prmt7"
"SMPD3","Smpd3"
"ZFP90","Zfp90"
"CDH3","Cdh3"
"CDH1","Cdh1"
"TANGO6","Tango6"
"HAS3","Has3"
"UTP4","Utp4"
"SNTB2","Sntb2"
"VPS4A","Vps4a"
"COG8","Cog8"
"NIP7","Nip7"
"TMED6","Tmed6"
"TERF2","Terf2"
"CYB5B","Cyb5b"
"NFAT5","Nfat5"
"NQO1","Nqo1"
"NOB1","Nob1"
"WWP2","Wwp2"
"PDPR","Pdpr"
"EXOSC6","Exosc6"
"DDX19B","Ddx19b"
"DDX19A","Ddx19a"
"ST3GAL2","St3gal2"
"FCSK","Fcsk"
"COG4","Cog4"
"SF3B3","Sf3b3"
"IL34","Il34"
"MTSS2","Mtss2"
"VAC14","Vac14"
"HYDIN","Hydin"
"CMTR2","Cmtr2"
"CALB2","Calb2"
"ZNF23","Zfp612"
"CHST4","Chst4"
"MARVELD3","Marveld3"
"PHLPP2","Phlpp2"
"AP1G1","Ap1g1"
"ATXN1L","Atxn1l"
"IST1","Ist1"
"ZNF821","Zfp821"
"DHODH","Dhodh"
"TXNL4B","Txnl4b"
"DHX38","Dhx38"
"PMFBP1","Pmfbp1"
"ZFHX3","Zfhx3"
"PSMD7","Psmd7"
"GLG1","Glg1"
"RFWD3","Rfwd3"
"MLKL","Mlkl"
"FA2H","Fa2h"
"WDR59","Wdr59"
"ZNRF1","Znrf1"
"LDHD","Ldhd"
"ZFP1","Zfp1"
"BCAR1","Bcar1"
"CFDP1","Cfdp1"
"TMEM170A","Tmem170"
"TMEM231","Tmem231"
"GABARAPL2","Gabarapl2"
"ADAT1","Adat1"
"TERF2IP","Terf2ip"
"MON1B","Mon1b"
"SYCE1L","Syce1l"
"NUDT7","Nudt7"
"VAT1L","Vat1l"
"WWOX","Wwox"
"MAF","Maf"
"DYNLRB2","Dynlrb2"
"CDYL2","Cdyl2"
"CENPN","Cenpn"
"ATMIN","Atmin"
"C16orf46","1700030J22Rik"
"GCSH","Gcsh"
"BCO1","Bco1"
"GAN","Gan"
"CMIP","Cmip"
"PLCG2","Plcg2"
"SDR42E1","Sdr42e1"
"HSD17B2","Hsd17b2"
"MPHOSPH6","Mphosph6"
"CDH13","Cdh13"
"HSBP1","Hsbp1"
"MLYCD","Mlycd"
"OSGIN1","Osgin1"
"MBTPS1","Mbtps1"
"HSDL1","Hsdl1"
"DNAAF1","Dnaaf1"
"TAF1C","Taf1c"
"WFDC1","Wfdc1"
"ATP2C2","Atp2c2"
"MEAK7","Meak7"
"COTL1","Cotl1"
"KLHL36","Klhl36"
"USP10","Usp10"
"CRISPLD2","Crispld2"
"ZDHHC7","Zdhhc7"
"KIAA0513","6430548M08Rik"
"GSE1","Gse1"
"GINS2","Gins2"
"C16orf74","1190005I06Rik"
"EMC8","Emc8"
"COX4I1","Cox4i1"
"IRF8","Irf8"
"FOXF1","Foxf1"
"MTHFSD","Mthfsd"
"FOXC2","Foxc2"
"FOXL1","Foxl1"
"C16orf95","1700018B08Rik"
"FBXO31","Fbxo31"
"ZCCHC14","Zcchc14"
"KLHDC4","Klhdc4"
"SLC7A5","Slc7a5"
"BANP","Banp"
"ZNF469","Zfp469"
"ZFPM1","Zfpm1"
"ZC3H18","Zc3h18"
"CYBA","Cyba"
"MVD","Mvd"
"SNAI3","Snai3"
"RNF166","Rnf166"
"CTU2","Ctu2"
"PIEZO1","Piezo1"
"CDT1","Cdt1"
"APRT","Aprt"
"GALNS","Galns"
"TRAPPC2L","Trappc2l"
"CBFA2T3","Cbfa2t3"
"ACSF3","Acsf3"
"CDH15","Cdh15"
"ZNF778","Zfp763"
"ANKRD11","Ankrd11"
"SPG7","Spg7"
"CPNE7","Cpne7"
"DPEP1","Dpep1"
"CHMP1A","Chmp1a"
"CDK10","Cdk10"
"SPATA2L","Spata2l"
"VPS9D1","Vps9d1"
"ZNF276","Zfp276"
"FANCA","Fanca"
"SPIRE2","Spire2"
"TCF25","Tcf25"
"MC1R","Mc1r"
"TUBB3","Tubb3"
"DEF8","Def8"
"DBNDD1","Dbndd1"
"GAS8","Gas8"
"DOC2B","Doc2b"
"RPH3AL","Rph3al"
"C17orf97","1700016K19Rik"
"RFLNB","Rflnb"
"VPS53","Vps53"
"TLCD3A","Tlcd3a"
"GEMIN4","Gemin4"
"GLOD4","Glod4"
"MRM3","Mrm3"
"NXN","Nxn"
"TIMM22","Timm22"
"ABR","Abr"
"YWHAE","Ywhae"
"CRK","Crk"
"MYO1C","Myo1c"
"INPP5K","Inpp5k"
"PITPNA","Pitpna"
"SLC43A2","Slc43a2"
"SCARF1","Scarf1"
"RILP","Rilp"
"PRPF8","Prpf8"
"TLCD2","Tlcd2"
"WDR81","Wdr81"
"SERPINF2","Serpinf2"
"SERPINF1","Serpinf1"
"SMYD4","Smyd4"
"RPA1","Rpa1"
"RTN4RL1","Rtn4rl1"
"DPH1","Dph1"
"HIC1","Hic1"
"SMG6","Smg6"
"SRR","Srr"
"TSR1","Tsr1"
"SGSM2","Sgsm2"
"MNT","Mnt"
"METTL16","Mettl16"
"PAFAH1B1","Pafah1b1"
"CLUH","Cluh"
"RAP1GAP2","Rap1gap2"
"ASPA","Aspa"
"TRPV3","Trpv3"
"TRPV1","Trpv1"
"SHPK","Shpk"
"CTNS","Ctns"
"TAX1BP3","Tax1bp3"
"EMC6","Emc6"
"P2RX5","P2rx5"
"ITGAE","Itgae"
"NCBP3","Ncbp3"
"CAMKK1","Camkk1"
"P2RX1","P2rx1"
"ATP2A3","Atp2a3"
"ZZEF1","Zzef1"
"CYB5D2","Cyb5d2"
"ANKFY1","Ankfy1"
"UBE2G1","Ube2g1"
"SPNS3","Spns3"
"SPNS2","Spns2"
"MYBBP1A","Mybbp1a"
"GGT6","Ggt6"
"SMTNL2","Smtnl2"
"ALOX15","Alox15"
"PELP1","Pelp1"
"ARRB2","Arrb2"
"MED11","Med11"
"CXCL16","Cxcl16"
"ZMYND15","Zmynd15"
"VMO1","Vmo1"
"GLTPD2","Gltpd2"
"PSMB6","Psmb6"
"PLD2","Pld2"
"MINK1","Mink1"
"CHRNE","Chrne"
"C17orf107","4930544D05Rik"
"GP1BA","Gp1ba"
"SLC25A11","Slc25a11"
"RNF167","Rnf167"
"PFN1","Pfn1"
"ENO3","Eno3"
"SPAG7","Spag7"
"CAMTA2","Camta2"
"INCA1","Inca1"
"KIF1C","Kif1c"
"ZFP3","Zfp3"
"SCIMP","Scimp"
"RABEP1","Rabep1"
"NUP88","Nup88"
"RPAIN","Rpain"
"C1QBP","C1qbp"
"DHX33","Dhx33"
"DERL2","Derl2"
"MIS12","Mis12"
"WSCD1","Wscd1"
"PIMREG","Pimreg"
"PITPNM3","Pitpnm3"
"KIAA0753","4933427D14Rik"
"TXNDC17","Txndc17"
"MED31","Med31"
"C17orf100","4930563E22Rik"
"XAF1","Xaf1"
"TEKT1","Tekt1"
"ALOX12","Alox12"
"RNASEK","Rnasek"
"C17orf49","0610010K14Rik"
"BCL6B","Bcl6b"
"SLC16A11","Slc16a11"
"ASGR2","Asgr2"
"ASGR1","Asgr1"
"DLG4","Dlg4"
"ACADVL","Acadvl"
"DVL2","Dvl2"
"PHF23","Phf23"
"GABARAP","Gabarap"
"CTDNEP1","Ctdnep1"
"ELP5","Elp5"
"CLDN7","Cldn7"
"SLC2A4","Slc2a4"
"GPS2","Gps2"
"NEURL4","Neurl4"
"ACAP1","Acap1"
"KCTD11","Kctd11"
"TNK1","Tnk1"
"PLSCR3","Plscr3"
"TMEM256","Tmem256"
"NLGN2","Nlgn2"
"TMEM102","Tmem102"
"FGF11","Fgf11"
"CHRNB1","Chrnb1"
"ZBTB4","Zbtb4"
"POLR2A","Polr2a"
"TNFSF12","Tnfsf12"
"TNFSF13","Tnfsf13"
"SENP3","Senp3"
"EIF4A1","Eif4a1"
"MPDU1","Mpdu1"
"SOX15","Sox15"
"FXR2","Fxr2"
"SHBG","Shbg"
"SAT2","Sat2"
"ATP1B2","Atp1b2"
"TP53","Trp53"
"WRAP53","Wrap53"
"EFNB3","Efnb3"
"DNAH2","Dnah2"
"KDM6B","Kdm6b"
"TMEM88","Tmem88"
"NAA38","Naa38"
"CYB5D1","Cyb5d1"
"CHD3","Chd3"
"RNF227","Rnf227"
"KCNAB3","Kcnab3"
"TRAPPC1","Trappc1"
"CNTROB","Cntrob"
"GUCY2D","Gucy2e"
"ALOX15B","Alox8"
"PER1","Per1"
"VAMP2","Vamp2"
"TMEM107","Tmem107"
"BORCS6","Borcs6"
"AURKB","Aurkb"
"CTC1","Ctc1"
"PFAS","Pfas"
"SLC25A35","Slc25a35"
"RANGRF","Rangrf"
"ARHGEF15","Arhgef15"
"NDEL1","Ndel1"
"MYH10","Myh10"
"MFSD6L","Mfsd6l"
"PIK3R6","Pik3r6"
"PIK3R5","Pik3r5"
"NTN1","Ntn1"
"STX8","Stx8"
"CFAP52","Cfap52"
"USP43","Usp43"
"GLP2R","Glp2r"
"RCVRN","Rcvrn"
"GAS7","Gas7"
"MYH1","Myh1"
"MYH3","Myh3"
"SCO1","Sco1"
"ADPRM","Adprm"
"TMEM220","Tmem220"
"TMEM238L","Tmem238l"
"SHISA6","Shisa6"
"DNAH9","Dnah9"
"ZNF18","Zkscan6"
"MAP2K4","Map2k4"
"MYOCD","Myocd"
"ARHGAP44","Arhgap44"
"ELAC2","Elac2"
"HS3ST3A1","Hs3st3a1"
"COX10","Cox10"
"HS3ST3B1","Hs3st3b1"
"PMP22","Pmp22"
"TEKT3","Tekt3"
"CDRT4","Cdrt4"
"CDRT1","Fbxw10"
"TRIM16","Trim16"
"ZNF286A","Zfp286"
"ADORA2B","Adora2b"
"ZSWIM7","Zswim7"
"TTC19","Ttc19"
"NCOR1","Ncor1"
"PIGL","Pigl"
"CENPV","Cenpv"
"UBB","Ubb"
"TRPV2","Trpv2"
"LRRC75A","Lrrc75a"
"ZNF287","Zfp287"
"TNFRSF13B","Tnfrsf13b"
"MPRIP","Mprip"
"PLD6","Pld6"
"FLCN","Flcn"
"COPS3","Cops3"
"NT5M","Nt5m"
"MED9","Med9"
"RASD1","Rasd1"
"PEMT","Pemt"
"SREBF1","Srebf1"
"TOM1L2","Tom1l2"
"DRC3","Drc3"
"ATPAF2","Atpaf2"
"GID4","Gid4"
"DRG2","Drg2"
"MYO15A","Myo15"
"ALKBH5","Alkbh5"
"LLGL1","Llgl1"
"FLII","Flii"
"MIEF2","Mief2"
"TOP3A","Top3a"
"SMCR8","Smcr8"
"SHMT1","Shmt1"
"PRPSAP2","Prpsap2"
"FAM83G","Fam83g"
"EPN2","Epn2"
"B9D1","B9d1"
"MAPK7","Mapk7"
"MFAP4","Mfap4"
"RNF112","Rnf112"
"SLC47A1","Slc47a1"
"ALDH3A2","Aldh3a2"
"ALDH3A1","Aldh3a1"
"ULK2","Ulk2"
"AKAP10","Akap10"
"SPECC1","Specc1"
"USP22","Usp22"
"DHRS7B","Dhrs7b"
"TMEM11","Tmem11"
"NATD1","Natd1"
"MAP2K3","Map2k3"
"KCNJ12","Kcnj12"
"WSB1","Wsb1"
"KSR1","Ksr1"
"NOS2","Nos2"
"LYRM9","Lyrm9"
"NLK","Nlk"
"TMEM97","Tmem97"
"IFT20","Ift20"
"TNFAIP1","Tnfaip1"
"POLDIP2","Poldip2"
"TMEM199","Tmem199"
"SARM1","Sarm1"
"VTN","Vtn"
"SLC46A1","Slc46a1"
"FOXN1","Foxn1"
"UNC119","Unc119"
"PIGS","Pigs"
"ALDOC","Aldoc"
"SPAG5","Spag5"
"RSKR","Rskr"
